source_url,target_url,status_code,preserve_query_string
https://pmhnpbilling.com/blog/illinois-telehealth-billing-pmhnps-chicago-pos-02-10-modifier-95-denial-fixes-2026.html,https://pmhnpbilling.com/blog/illinois-telehealth-billing-pmhnps-pos-02-10-modifier-95-denial-fixes-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-276-277-claim-status-no-response-aging-ar-follow-up-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-276-277-claim-status-no-response-aging-ar-follow-up-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-277ca-rejections-clearinghouse-edits-first-pass-acceptance-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-277ca-rejections-clearinghouse-edits-first-pass-acceptance-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-90791-90792-em-psychotherapy-add-on-coding-guide-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-90791-90792-em-psychotherapy-add-on-coding-guide-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-behavioral-health-carve-outs-referral-requirements-payer-routing-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-behavioral-health-carve-outs-referral-requirements-payer-routing-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-caqh-reattestation-recredentialing-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-caqh-reattestation-recredentialing-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-claim-denial-appeals-playbook-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-claim-denial-appeals-playbook-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-co-16-denials-missing-information-claim-scrubber-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-co-16-denials-missing-information-claim-scrubber-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-co-18-duplicate-claims-corrected-claim-frequency-code-replacement-claim-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-co-18-duplicate-claims-corrected-claim-frequency-code-replacement-claim-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-co-197-denials-no-authorization-on-file-retro-auth-recovery-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-co-197-denials-no-authorization-on-file-retro-auth-recovery-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-credentialing-first-claim-checklist.html,https://pmhnpbilling.com/blog/pmhnp-billing-credentialing-first-claim-checklist.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-eligibility-verification-cob-front-end-denial-prevention-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-eligibility-verification-cob-front-end-denial-prevention-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-era-eob-posting-plb-takebacks-reconciliation-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-era-eob-posting-plb-takebacks-reconciliation-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-illinois-medicaid-impact-enrollment-mco-linking-first-claim-checklist-2026.html,https://pmhnpbilling.com/blog/illinois-medicaid-impact-enrollment-mco-linking-pmhnp-first-claim-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-insurance-credentialing-group-vs-individual-npi-eft-era-first-paid-claim-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-insurance-credentialing-group-vs-individual-npi-eft-era-first-paid-claim-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-medical-records-requests-adr-response-documentation-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-medical-records-requests-adr-response-documentation-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-medicare-advantage-credentialing-authorizations-claim-routing-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-medicare-advantage-credentialing-authorizations-claim-routing-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-medicare-pecos-reassignment-ptan-first-claim-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-medicare-pecos-reassignment-ptan-first-claim-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-npi-taxonomy-caqh-alignment-checklist-eligibility-denials-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-npi-taxonomy-caqh-alignment-checklist-eligibility-denials-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-payer-roster-delays-effective-date-mismatches-provider-not-on-file-denial-recovery-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-payer-roster-delays-effective-date-mismatches-provider-not-on-file-denial-recovery-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-prior-authorization-expiration-units-visit-limit-tracking-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-prior-authorization-expiration-units-visit-limit-tracking-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-prior-authorization-workflow-appeal-packet-templates-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-prior-authorization-workflow-appeal-packet-templates-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-psychiatric-cpt-coding-matrix-documentation-audit-checklist-2026.html,https://pmhnpbilling.com/blog/pmhnp-billing-psychiatric-cpt-coding-matrix-documentation-audit-checklist-2026.html,301,true
https://pmhnpbilling.com/blog/pmhnp-billing-chicago-retroactive-eligibility-medicaid-backdating-rebilling-recovery-checklist-2026.html,https://pmhnpbilling.com/blog/illinois-medicaid-retroactive-eligibility-backdating-rebilling-recovery-pmhnp-checklist-2026.html,301,true
